,title,paragraph,label
639,"esg has no financial benefit for infrastructure groups, study finds","better environmental, social and governance standards have no effect on the financial performance of private infrastructure companies, research has found. ",unfavorable
227,green deal needs better incentives,"tesco said the government was moving in the same direction as consumers, given the level of interest it was getting in insulation and solar energy services. â€œthe government is right to focus on reducing carbon emissions from the uk housing stock,â€ said tescoâ€™s lucy neville-rolfe. ",favorable
188,"for rich nations, this is not the season for giving","and who determines what climate change aid is anyway? a government wants assistance to install solar pumps to irrigate farms growing partly for export. is that aid for climate change, agriculture or trade? all this process does is induce cynicism in the recipient and the perpetual relabelling of plans, depending on the donor obsession du jour.",unfavorable
608,esg? sri? is your green portfolio really green?,"you might assume that your sustainable fund would exclude sectors such as fossil fuels and â€œsinâ€ stocks â€” arms, drinks and tobacco. it may come as a surprise that almost all sustainable funds do not have any hard sector exclusions. ",unfavorable
155,investors: institutions lead the way in investments,"issues such as carbon emissions have only recently been elevated in importance by sri funds, which have traditionally considered environmental issues along with labour issues, corporate governance and social issues.",favorable
575,ethical funds failing social responsibility tests,"schroders, meanwhile, said climate change trends were â€œcomplexâ€ and refusing to invest in â€œenergy intensiveâ€ sectors may not be the best way to lower carbon emissions.",favorable
581,china targets aggressive coal capacity cuts to 2020,"china aims to cap total primary energy consumption at around 4.4bn tonnes of coal equivalent in 2017, nur bekri, the countryâ€™s top energy official, said on wednesday, close to 2016 levels as the country battles chronic smog.",favorable
344,ministers back moves to raise eu carbon prices,but confusion over germanyâ€™s position on the issue means it is still unclear if it will be possible to prop up europeâ€™s flagship policy to tackle climate change.,unfavorable
500,"global energy subsidies fuel climate change, says imf study","governments around the world will subsidise the cost of oil, gas and coal to the tune of $5.3tn this year, fuelling pollution and climate change as they misallocate the equivalent of what is spent globally on public health, according to a new study.",unfavorable
56,california agrees on global warming bill,"he said the proposals would do little good for the environment: â€œclimate change is a global problem that requires a global solution, not a punitive cap on energy supplies in california. being the only state to have absolute caps on carbon emissions puts california at a competitive disadvantage.â€ ",favorable
578,poland tests water for worldâ€™s first sovereign green bond,"green bonds have been given a boost in recent years by government pledges to lower carbon emissions â€“ with sales fairly evenly split between companies such as apple, sub sovereigns like the city of napa and supranational agencies like the world bank.",favorable
498,european energy groups seek un backing for carbon pricing system,it is unclear if such a measure will be approved but growing pressure from politicians and some investors for energy companies to do more to tackle climate change has sparked divisions between european and us energy groups.,favorable
561,mexico long-term electricity auction sees 7 winners,"this growing reliance on clean energy reflects regional trends, as countries try to cut carbon emissions while providing sufficient power to grow their economies.",favorable
554,ministers confident of meeting climate goals with no extra policies,"the committee on climate change, the statutory body that advises the government, will examine the paris agreement to see whether targets need further tightening.",unfavorable
224,interview: eamon ryan puts the business case for the countryâ€™s green economy,"as for carbon emissions targets, where some traditional manufacturers complain ireland has set itself overly ambitious targets, he argues this is not a constraint for the high-technology manufacturing that ireland should be focusing on.",favorable
271,london headlines,"europe holds china to carbon tax payments european officials are insisting that chinese airlines will have to pay for their carbon emissions, rebuffing an attempt by beijing on monday to shield them from a controversial emissions trading scheme, the ft reports. http://www.ft.com/intl/cms/s/0/630e84c0-50f7-11e1-939d-00144feabdc0.html#axzz1lzhgv78p",favorable
